ensembl_peptide_id	entrezgene_id
ENSP00000250838	9426
ENSP00000250784	6192
ENSP00000155093	7544
ENSP00000261667	3839
ENSP00000261669	81617
ENSP00000219022	10562
ENSP00000019317	10928
ENSP00000258654	83548
ENSP00000256906	59340
ENSP00000262160	4087
ENSP00000217515	9352
ENSP00000218721	2862
ENSP00000241453	2322
ENSP00000262150	28513
ENSP00000181383	1361
ENSP00000251127	259232
ENSP00000246071	6629
ENSP00000246069	11034
ENSP00000252011	60625
ENSP00000245304	5911
ENSP00000243911	4159
ENSP00000244043	5740
ENSP00000246194	22913
ENSP00000262120	57045
ENSP00000215781	5008
ENSP00000217086	57167
ENSP00000257189	1830
ENSP00000237014	7276
ENSP00000249075	3976
ENSP00000216133	23492
ENSP00000216180	80339
ENSP00000258613	55901
ENSP00000252997	140628
ENSP00000253003	11047
ENSP00000216513	51804
ENSP00000217133	81027
ENSP00000243997	514
ENSP00000258646	55213
ENSP00000216200	5816
ENSP00000261245	4331
ENSP00000244020	6431
ENSP00000217026	4605
ENSP00000215941	129138
ENSP00000250457	112399
ENSP00000217169	79444
ENSP00000248975	7533
ENSP00000261558	55745
ENSP00000246062	8195
ENSP00000202017	81572
ENSP00000245451	652
ENSP00000216968	10544
ENSP00000246186	10893
ENSP00000218548	479
ENSP00000215829	6634
ENSP00000217386	5020
ENSP00000217173	22888
ENSP00000215832	5594
ENSP00000262173	8731
ENSP00000217652	10627
ENSP00000237500	103910
ENSP00000257198	1823
ENSP00000257192	1828
ENSP00000218439	10916
ENSP00000215862	22880
ENSP00000261303	5700
ENSP00000217402	128866
ENSP00000216068	10126
ENSP00000248139	57799
ENSP00000217270	128674
ENSP00000163416	9950
ENSP00000216160	10454
ENSP00000245983	2797
ENSP00000216629	623
ENSP00000217131	1522
ENSP00000262320	8312
ENSP00000261593	51444
ENSP00000223129	6119
ENSP00000254286	55860
ENSP00000219409	398
ENSP00000217958	5716
ENSP00000171757	27334
ENSP00000204961	1947
ENSP00000245838	57187
ENSP00000261381	64131
ENSP00000216252	84844
ENSP00000219478	26048
ENSP00000169551	29090
ENSP00000252506	10912
ENSP00000259365	7111
ENSP00000255448	9201
ENSP00000260762	54536
ENSP00000217428	10816
ENSP00000252321	3741
ENSP00000253968	56033
ENSP00000250498	1603
ENSP00000242057	196
ENSP00000215956	4809
ENSP00000216027	150274
ENSP00000242261	7291
ENSP00000222823	10392
ENSP00000222584	6671
ENSP00000222573	3696
ENSP00000261349	4040
ENSP00000242249	10268
ENSP00000257312	22873
ENSP00000002596	9957
ENSP00000255465	8900
ENSP00000254963	116835
ENSP00000255499	79589
ENSP00000230658	3670
ENSP00000224356	1592
ENSP00000229304	339
ENSP00000216733	10278
ENSP00000262158	4092
ENSP00000256759	10468
ENSP00000230882	2690
ENSP00000217244	1457
ENSP00000239032	2834
ENSP00000231021	1007
ENSP00000261601	9097
ENSP00000243213	3598
ENSP00000261597	10403
ENSP00000261195	2998
ENSP00000228567	341359
ENSP00000230640	23517
ENSP00000043402	65078
ENSP00000261600	9984
